  PID  PPID  PGID   UID USER             STAT     ELAPSED COMMAND
  515     1   515   301 _modelmanagerd   Ss   27-06:05:57 /usr/libexec/modelmanagerd
  518     1   518   242 _nsurlsessiond   S    27-06:05:57 /usr/sbin/distnoted agent
  524     1   524     0 root             Ss   27-06:05:57 /Library/PrivilegedHelperTools/com.docker.vmnetd
  530     1   530    55 _appleevents     Ss   27-06:05:57 /System/Library/CoreServices/appleeventsd --server
  552     1   552   294 _audiomxd        S    27-06:05:57 /usr/sbin/distnoted agent
  555     1   555     0 root             Ss   27-06:05:57 /usr/libexec/searchpartyd
  557     1   557   270 _driverkit       Ss   27-06:05:57 /System/Library/DriverExtensions/com.apple.DriverKit-AppleBCMWLAN.dext/com.apple.DriverKit-AppleBCMWLAN com.apple.bcmwlan 0x100000e64 com.apple.DriverKit-AppleBCMWLAN
  558     1   558   270 _driverkit       Ss   27-06:05:57 /System/Library/DriverExtensions/com.apple.DriverKit-IOUserDockChannelSerial.dext/com.apple.DriverKit-IOUserDockChannelSerial com.apple.IOUserDockChannelSerial 0x10000102a com.apple.DriverKit-IOUserDockChannelSerial
  559     1   559   270 _driverkit       Ss   27-06:05:57 /System/Library/DriverExtensions/com.apple.AppleUserHIDDrivers.dext/com.apple.AppleUserHIDDrivers com.apple.driverkit.AppleUserHIDDrivers 0x10000102b com.apple.AppleUserHIDDrivers
  560     1   560     0 root             Ss   27-06:05:57 /System/Library/CoreServices/Software Update.app/Contents/Resources/suhelperd
  566     1   566   308 _mds_stores      Rs   27-06:05:57 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mds_stores
  569     1   569    55 _appleevents     S    27-06:05:56 /usr/sbin/distnoted agent
  577     1   577    89 _spotlight       S    27-06:05:56 /usr/sbin/distnoted agent
  581     1   581     0 root             Ss   27-06:05:56 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
  583     1   583   200 _softwareupdate  S    27-06:05:56 /usr/sbin/distnoted agent
  585     1   585   501 oopslink         S    27-06:05:56 /usr/sbin/distnoted agent
  587     1   587   501 oopslink         R    27-06:05:56 /usr/sbin/cfprefsd agent
  588     1   588   501 oopslink         S    27-06:05:56 /usr/libexec/UserEventAgent (Aqua)
