go test -race -count=1 ./internal/agentruntime/...
ok  	github.com/oopslink/agent-center/internal/agentruntime	43.262s
ok  	github.com/oopslink/agent-center/internal/agentruntime/executor	64.453s
ok  	github.com/oopslink/agent-center/internal/agentruntime/modelrouter	3.336s
ok  	github.com/oopslink/agent-center/internal/agentruntime/orchestrator	9.974s
ok  	github.com/oopslink/agent-center/internal/agentruntime/reporepo	35.329s
ok  	github.com/oopslink/agent-center/internal/agentruntime/sessioninstance	4.107s
ok  	github.com/oopslink/agent-center/internal/agentruntime/skillscan	5.857s
ok  	github.com/oopslink/agent-center/internal/agentruntime/taskexec	6.941s
ok  	github.com/oopslink/agent-center/internal/agentruntime/tasklog	6.200s
